Time,DIN1,DIN2,DIN3,DIN4,DIN5,DIN6,DIN7,DIN8,DOUT0,DOUT1,DOUT2,DOUT3, DOUT4, DOUT5, DOUT6, DOUT7, AIN0, AIN1,AIN2,AIN3,AOUT0, INPOS0, TARPOS0, CURPOS0, CURVEL0
2879171,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.192601,0.257875,0.184542,0.000000,1,0.00,0.00,360.00,633.82
2879292,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.191795,0.203077,0.177289,0.000000,1,0.00,0.00,360.00,633.82
2879383,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.191795,0.191795,0.175678,0.000000,1,0.00,0.00,360.00,633.82
2879484,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.199853,0.177289,0.000000,1,0.00,0.00,360.00,633.83
2879575,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.217582,0.178095,0.000000,1,0.00,0.00,360.00,633.83
2879696,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.186960,0.190183,0.000000,1,0.00,0.00,360.00,633.83
2879787,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.193407,0.175678,0.000000,1,0.00,0.00,360.00,633.83
2879888,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.199853,0.177289,0.000000,1,0.00,0.00,360.00,633.83
2879979,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.191795,0.198242,0.176484,0.000000,1,0.00,0.00,360.00,633.84
2880090,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.219194,0.178901,0.000000,1,0.00,0.00,360.00,633.84
2880191,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.259487,0.186154,0.000000,1,0.00,0.00,360.00,633.84
2880282,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.200659,0.178901,0.000000,1,0.00,0.00,360.00,633.84
2880383,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.193407,0.177289,0.000000,1,0.00,0.00,360.00,633.84
2880494,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.191795,0.206300,0.175678,0.000000,1,0.00,0.00,360.00,633.85
2880585,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.212747,0.177289,0.000000,1,0.00,0.00,360.00,633.85
2880686,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.183736,0.191795,0.000000,1,0.00,0.00,360.00,633.85
2880777,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.198242,0.177289,0.000000,1,0.00,0.00,360.00,633.85
2880888,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.198242,0.176484,0.000000,1,0.00,0.00,360.00,633.86
2880989,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.190989,0.191795,0.175678,0.000000,1,0.00,0.00,360.00,633.86
2881090,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.219194,0.178901,0.000000,1,0.00,0.00,360.00,633.86
2881191,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.192601,0.258681,0.184542,0.000000,0,450.00,28.80,360.00,633.87
2881294,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.190989,0.206300,0.178095,0.000000,0,450.00,65.70,360.00,633.87
2881386,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.177289,0.190183,0.000000,0,450.00,99.00,360.00,633.87
2881478,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.191795,0.206300,0.178095,0.000000,0,450.00,131.85,360.00,633.87
2881580,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.191795,0.219194,0.180513,0.000000,0,450.00,168.75,360.00,633.88
2881692,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.206300,0.178095,0.000000,0,450.00,209.25,360.00,633.88
2881784,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.191795,0.193407,0.177289,0.000000,0,450.00,242.10,360.00,633.88
2881886,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.183736,0.191795,0.000000,0,450.00,279.00,360.00,633.88
2881978,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.198242,0.178901,0.000000,0,450.00,311.85,360.00,633.89
2882090,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.220000,0.178095,0.000000,0,450.00,352.35,360.00,633.89
2882182,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.193407,0.177289,0.000000,0,450.00,385.65,360.00,633.89
2882284,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.199853,0.178095,0.000000,0,450.00,422.10,360.00,633.90
2882376,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.180513,0.191795,0.000000,1,450.00,450.00,360.00,633.90
2882488,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.199853,0.175678,0.000000,1,450.00,450.00,360.00,633.90
2882580,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.191795,0.217582,0.178095,0.000000,1,450.00,450.00,360.00,633.90
2882682,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.191795,0.198242,0.178095,0.000000,1,450.00,450.00,360.00,633.91
2882774,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.191795,0.197436,0.178901,0.000000,1,450.00,450.00,360.00,633.91
2882886,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.192601,0.183736,0.190183,0.000000,1,450.00,450.00,360.00,633.91
2882988,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.193407,0.177289,0.000000,1,450.00,450.00,360.00,633.91
2883080,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.191795,0.225641,0.180513,0.000000,1,450.00,450.00,360.00,633.92
2883172,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.196630,0.175678,0.000000,1,450.00,450.00,360.00,633.92
2883284,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.199853,0.175678,0.000000,1,450.00,450.00,360.00,633.92
2883386,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.176484,0.190989,0.000000,1,450.00,450.00,360.00,635.45
2883478,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.206300,0.178901,0.000000,1,450.00,450.00,360.00,637.17
2883580,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.191795,0.217582,0.180513,0.000000,1,450.00,450.00,360.00,638.90
2883692,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.190989,0.203883,0.178901,0.000000,1,450.00,450.00,360.00,641.08
2883784,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.191795,0.193407,0.178095,0.000000,1,450.00,450.00,360.00,643.17
2883876,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.188571,0.193407,0.000000,1,450.00,450.00,360.00,645.17
2883978,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.197436,0.178901,0.000000,1,450.00,450.00,360.00,646.94
2884090,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.220000,0.180513,0.000000,1,450.00,450.00,360.00,648.44
2884182,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.193407,0.178095,0.000000,1,450.00,450.00,360.00,650.01
2884274,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.206300,0.179707,0.000000,1,450.00,450.00,360.00,651.71
2884386,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.177289,0.190183,0.000000,1,450.00,450.00,360.00,653.27
2884488,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.199853,0.178095,0.000000,1,450.00,450.00,360.00,654.91
2884580,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.191795,0.219194,0.179707,0.000000,1,450.00,450.00,360.00,656.79
2884682,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.191795,0.199853,0.175678,0.000000,1,450.00,450.00,360.00,658.59
2884774,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.198242,0.177289,0.000000,1,450.00,450.00,360.00,660.47
2884886,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.191795,0.182930,0.190989,0.000000,1,450.00,450.00,360.00,662.21
2884978,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.198242,0.177289,0.000000,1,450.00,450.00,360.00,664.29
2885080,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.225641,0.181319,0.000000,1,450.00,450.00,360.00,666.34
2885172,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.197436,0.177289,0.000000,1,450.00,450.00,360.00,667.96
2885284,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.199853,0.178095,0.000000,1,450.00,450.00,360.00,669.91
2885386,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.175678,0.190183,0.000000,1,450.00,450.00,360.00,671.90
2885478,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.206300,0.179707,0.000000,1,450.00,450.00,360.00,674.21
2885590,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.191795,0.214359,0.178095,0.000000,1,450.00,450.00,360.00,676.15
2885682,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.199853,0.178095,0.000000,1,450.00,450.00,360.00,678.22
