Time,DIN1,DIN2,DIN3,DIN4,DIN5,DIN6,DIN7,DIN8,DOUT0,DOUT1,DOUT2,DOUT3, DOUT4, DOUT5, DOUT6, DOUT7, AIN0, AIN1,AIN2,AIN3,AOUT0, INPOS0, TARPOS0, CURPOS0, CURVEL0, SCALE
14100444,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.188571,0.173260,0.184542,0.000000,1,899.82,899.82,90.00,991.81
14100566,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.198242,0.181319,0.000000,1,899.82,899.82,90.00,991.81
14100658,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.178901,0.197436,0.000000,1,899.82,899.82,90.00,991.81
14100750,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.161172,0.198242,0.000000,1,899.82,899.82,90.00,991.81
14100852,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.188571,0.175678,0.186154,0.000000,1,899.82,899.82,90.00,991.81
14100964,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.175678,0.184542,0.000000,1,899.82,899.82,90.00,991.81
14101056,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.199853,0.180513,0.000000,1,899.82,899.82,90.00,991.81
14101158,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.181319,0.186960,0.181319,0.199048,0.000000,1,899.82,899.82,90.00,991.81
14101250,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.182125,0.188571,0.157143,0.195018,0.000000,1,899.82,899.82,90.00,991.81
14101362,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.182125,0.190989,0.176484,0.188571,0.000000,1,899.82,899.82,90.00,991.81
14101464,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.172454,0.182930,0.000000,1,899.82,899.82,90.00,991.81
14101556,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.201465,0.177289,0.000000,1,899.82,899.82,90.00,991.81
14101648,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.181319,0.190989,0.172454,0.195018,0.000000,1,899.82,899.82,90.00,991.81
14101760,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.189377,0.165201,0.198242,0.000000,1,899.82,899.82,90.00,991.81
14101862,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.188571,0.175678,0.196630,0.000000,1,899.82,899.82,90.00,991.81
14101954,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.187766,0.178095,0.182930,0.000000,1,899.82,899.82,90.00,991.81
14102046,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.193407,0.179707,0.000000,1,899.82,899.82,90.00,991.81
14102158,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.187766,0.182125,0.195824,0.000000,1,899.82,899.82,90.00,991.81
14102260,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.189377,0.162784,0.198242,0.000000,1,899.82,899.82,90.00,991.81
14102352,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.188571,0.178095,0.184542,0.000000,1,899.82,899.82,90.00,991.81
14102454,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.187766,0.175678,0.183736,0.000000,1,899.82,899.82,90.00,991.81
14102566,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.182125,0.191795,0.197436,0.180513,0.000000,1,899.82,899.82,90.00,991.81
14102658,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.186960,0.178901,0.195824,0.000000,1,899.82,899.82,90.00,991.81
14102750,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.187766,0.159560,0.197436,0.000000,1,899.82,899.82,90.00,991.81
14102852,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.186960,0.178095,0.184542,0.000000,1,899.82,899.82,90.00,991.81
14102964,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.174066,0.186960,0.000000,1,899.82,899.82,90.00,991.81
14103056,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.186960,0.199048,0.177289,0.000000,1,899.82,899.82,90.00,991.81
14103158,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.186960,0.182930,0.197436,0.000000,1,899.82,899.82,90.00,991.81
14103250,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.181319,0.190183,0.155531,0.198242,0.000000,1,899.82,899.82,90.00,991.81
